LOCATION,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME
뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,52,48,0,4,17,20,20,18,12,9,20,80,N,2022-11-04 11:20
망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,56,44,0,2,15,21,20,20,14,9,19,81,N,2022-11-04 11:20
반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,59,41,0,3,12,18,26,19,15,7,4,96,N,2022-11-04 11:20
북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,46,54,0,3,12,16,18,19,17,14,38,62,N,2022-11-04 11:20
서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,48,52,2,33,7,11,15,12,9,10,7,93,N,2022-11-04 11:20
서울숲공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,53,47,0,4,17,25,19,17,12,6,22,78,N,2022-11-04 11:20
월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,57,43,0,3,13,15,24,21,15,9,13,87,N,2022-11-04 11:20
이촌한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,58,42,0,3,12,17,24,20,15,9,10,90,N,2022-11-04 11:20
잠실종합운동장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,60,40,0,18,9,14,21,16,12,10,9,91,N,2022-11-04 11:20
잠실한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,52,48,0,13,10,14,20,20,15,7,12,88,N,2022-11-04 11:20
국립중앙박물관·용산가족공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,43,57,1,18,12,14,18,17,12,9,10,90,N,2022-11-04 12:00
남산공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,47,53,0,8,23,18,18,16,10,6,22,78,N,2022-11-04 12:00
뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,51,49,1,3,18,21,20,16,14,8,19,81,N,2022-11-04 12:00
망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,1000,55,45,0,2,15,23,18,21,14,8,20,80,N,2022-11-04 12:00
반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,59,41,0,4,14,23,20,22,12,6,3,97,N,2022-11-04 12:00
북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,46,54,0,3,12,15,18,18,18,15,38,62,N,2022-11-04 12:00
서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,47,53,2,32,9,12,14,11,10,9,6,94,N,2022-11-04 12:00
서울숲공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,52,48,0,4,19,25,18,16,11,5,19,81,N,2022-11-04 12:00
월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,55,45,0,2,11,17,23,21,16,10,12,88,N,2022-11-04 12:00
이촌한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,53,47,0,4,12,18,23,19,15,8,11,89,N,2022-11-04 12:00
잠실종합운동장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,60,40,0,16,10,14,21,18,12,9,7,93,N,2022-11-04 12:00
잠실한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,52,48,1,11,10,16,21,17,16,8,12,88,N,2022-11-04 12:00
국립중앙박물관·용산가족공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,43,57,0,20,14,17,17,16,10,5,9,91,N,2022-11-04 12:45
남산공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,46,54,0,7,24,19,18,17,10,5,22,78,N,2022-11-04 12:45
뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,48,52,0,4,18,22,17,17,14,8,18,82,N,2022-11-04 12:45
망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,54,46,0,2,17,21,20,17,12,10,19,81,N,2022-11-04 12:45
반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,60,40,0,6,13,20,24,19,13,6,3,97,N,2022-11-04 12:45
북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,45,55,1,3,11,16,19,19,17,14,37,63,N,2022-11-04 12:45
서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,43,57,2,26,9,13,16,11,12,11,7,93,N,2022-11-04 12:45
서울숲공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,50,50,0,6,21,25,17,16,11,4,18,82,N,2022-11-04 12:45
월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,55,45,0,3,12,17,22,21,16,10,12,88,N,2022-11-04 12:45
이촌한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,53,47,0,7,12,19,20,20,14,7,9,91,N,2022-11-04 12:45
잠실종합운동장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,63,37,0,17,9,15,22,15,13,8,6,94,N,2022-11-04 12:45
잠실한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,53,47,1,12,10,17,21,19,14,7,13,87,N,2022-11-04 12:45
