LOCATION,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,54,46,0,2,16,19,21,19,15,8,34,66,N,2022-11-04 11:05
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,44,56,0,3,31,27,17,11,6,4,36,64,N,2022-11-04 11:05
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,24000,48,52,0,4,22,30,24,13,6,2,29,71,N,2022-11-04 11:15
동대문 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,44,56,0,3,16,25,21,18,11,6,21,79,N,2022-11-04 11:15
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,62000,64000,51,49,0,1,17,28,25,16,9,4,33,67,N,2022-11-04 11:15
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,48,52,0,2,21,28,19,16,9,6,33,67,N,2022-11-04 11:15
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,48000,50000,48,52,0,14,18,23,19,13,8,5,26,74,N,2022-11-04 11:15
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,55,45,0,2,16,19,21,19,14,8,34,66,N,2022-11-04 11:15
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,40000,42000,44,56,0,3,32,28,17,11,6,4,36,64,N,2022-11-04 11:15
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,45,55,0,4,23,31,23,12,5,2,19,81,N,2022-11-04 12:00
동대문 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,44,56,0,3,16,25,22,17,11,6,20,80,N,2022-11-04 12:00
명동 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,76000,78000,50,50,0,1,17,29,25,16,8,4,20,80,N,2022-11-04 12:00
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,48,52,0,1,23,28,20,15,8,5,31,69,N,2022-11-04 12:00
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,52000,54000,47,53,0,14,19,24,18,13,7,4,19,81,N,2022-11-04 12:00
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,54,46,0,2,17,21,21,18,13,8,26,74,N,2022-11-04 12:00
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,46000,48000,44,56,0,4,33,27,17,10,6,4,30,70,N,2022-11-04 12:00
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,44,56,0,4,23,32,22,12,5,2,18,82,N,2022-11-04 12:40
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,46,54,0,5,18,23,20,17,12,6,20,80,N,2022-11-04 12:40
명동 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,78000,80000,48,52,0,1,18,29,24,15,8,4,20,80,N,2022-11-04 12:40
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,10000,49,51,0,1,23,27,20,15,9,4,28,72,N,2022-11-04 12:40
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,54000,56000,47,53,0,13,20,24,19,13,7,4,17,83,N,2022-11-04 12:40
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,53,47,0,2,17,21,21,18,13,9,24,76,N,2022-11-04 12:40
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,50000,52000,44,56,0,4,34,27,17,10,5,3,27,73,N,2022-11-04 12:40
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,45,55,0,4,24,30,22,12,6,2,24,76,N,2022-11-04 13:50
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,46,54,0,5,18,22,19,17,12,6,22,78,N,2022-11-04 13:50
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,68000,70000,48,52,0,2,18,27,23,16,10,5,29,71,N,2022-11-04 13:50
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,50,50,0,1,24,27,20,15,8,4,31,69,N,2022-11-04 13:50
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,56000,58000,46,54,0,14,21,23,17,12,7,5,22,78,N,2022-11-04 13:50
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,36000,38000,54,46,0,2,18,18,19,18,15,10,29,71,N,2022-11-04 13:50
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,52000,54000,43,57,0,6,36,25,15,9,5,3,29,71,N,2022-11-04 13:50
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,45,55,0,4,24,30,22,12,6,2,23,77,N,2022-11-04 14:35
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,45,55,0,4,18,22,20,17,12,6,22,78,N,2022-11-04 14:35
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,68000,70000,48,52,0,2,18,27,22,16,9,5,30,70,N,2022-11-04 14:35
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,50,50,0,2,25,26,20,15,8,4,32,68,N,2022-11-04 14:35
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,58000,60000,46,54,1,15,22,22,17,12,8,4,21,79,N,2022-11-04 14:35
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,36000,38000,54,46,0,3,17,18,18,18,15,10,30,70,N,2022-11-04 14:35
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,54000,56000,43,57,0,7,37,24,14,9,5,3,29,71,N,2022-11-04 14:35
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,45,55,0,3,26,31,21,12,6,2,24,76,N,2022-11-04 16:00
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,46,54,0,4,21,23,18,16,11,5,22,78,N,2022-11-04 16:00
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,66000,68000,49,51,0,2,20,27,22,16,9,4,31,69,N,2022-11-04 16:00
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,49,51,0,3,25,26,20,15,8,5,33,67,N,2022-11-04 16:00
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,58000,60000,46,54,1,13,24,22,17,12,8,4,21,79,N,2022-11-04 16:00
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,36000,38000,53,47,0,3,19,18,18,18,14,9,29,71,N,2022-11-04 16:00
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,58000,60000,43,57,0,9,38,23,14,9,5,3,27,73,N,2022-11-04 16:00
강남 MICE 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,24000,44,56,0,4,27,30,21,11,5,2,26,74,N,2022-11-04 17:15
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,46,54,0,4,23,24,18,16,10,4,20,80,N,2022-11-04 17:15
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,60000,62000,49,51,0,3,21,28,23,15,7,3,30,70,N,2022-11-04 17:15
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,10000,49,51,0,3,25,27,20,13,7,4,32,68,N,2022-11-04 17:15
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,58000,60000,44,56,0,12,26,23,17,12,7,3,20,80,N,2022-11-04 17:15
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,36000,38000,54,46,0,3,21,19,19,18,13,6,28,72,N,2022-11-04 17:15
홍대 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,64000,66000,42,58,0,10,40,22,13,8,4,2,25,75,N,2022-11-04 17:15
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,58,42,0,4,24,27,22,15,7,1,7,93,N,2022-11-04 23:05
동대문 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,49,51,0,5,29,25,18,12,7,3,25,75,N,2022-11-04 23:05
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,55,45,0,4,31,26,19,12,6,2,9,91,N,2022-11-04 23:05
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,55,45,0,3,27,27,19,12,8,6,34,66,N,2022-11-04 23:05
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,51,49,0,6,31,25,16,11,7,4,26,74,N,2022-11-04 23:05
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,56,44,0,4,37,23,14,12,7,3,13,87,N,2022-11-04 23:05
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,50000,52000,50,50,0,9,52,19,10,6,3,2,17,83,N,2022-11-04 23:05
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,42,58,0,6,26,24,20,14,7,2,10,90,N,2022-11-05 11:50
동대문 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,45,55,0,4,22,21,17,17,12,6,15,85,N,2022-11-05 11:50
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,34000,36000,43,57,0,3,19,22,18,17,13,7,16,84,N,2022-11-05 11:50
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,7500,53,47,0,3,25,25,19,14,8,5,22,78,N,2022-11-05 11:50
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,46000,48000,44,56,1,15,21,23,16,12,8,4,13,87,N,2022-11-05 11:50
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,51,49,0,4,18,16,16,18,16,11,18,82,N,2022-11-05 11:50
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,40000,42000,41,59,0,11,34,23,13,9,6,3,17,83,N,2022-11-05 11:50
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,41,59,0,8,30,27,18,10,6,2,9,91,N,2022-11-05 17:35
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,43,57,0,6,27,24,16,13,9,4,11,89,N,2022-11-05 17:35
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,50000,52000,43,57,0,4,26,24,18,15,9,3,10,90,N,2022-11-05 17:35
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,10000,48,52,0,4,31,26,15,12,7,4,17,83,N,2022-11-05 17:35
잠실 관광특구,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,72000,74000,41,59,1,13,29,24,15,10,6,3,8,92,N,2022-11-05 17:35
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,48,52,0,5,26,20,14,16,12,7,11,89,N,2022-11-05 17:35
홍대 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,80000,82000,39,61,0,14,47,19,9,6,3,2,10,90,N,2022-11-05 17:35
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,48,52,0,9,35,25,16,9,5,1,2,98,N,2022-11-06 20:55
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,46,54,0,4,26,27,17,14,9,3,24,76,N,2022-11-06 20:55
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,47,53,0,6,38,24,13,11,6,2,6,94,N,2022-11-06 20:55
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,52,48,0,4,31,26,16,11,7,5,26,74,N,2022-11-06 20:55
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,38000,40000,46,54,0,12,32,22,15,10,6,3,14,86,N,2022-11-06 20:55
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,53,47,0,5,39,20,12,13,8,4,13,87,N,2022-11-06 20:55
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,52000,54000,45,55,0,11,52,18,9,5,3,2,14,86,N,2022-11-06 20:55
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,18000,20000,51,49,0,2,22,33,24,12,4,2,37,63,N,2022-11-08 10:50
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,45,55,0,3,15,26,21,17,12,6,20,80,N,2022-11-08 10:50
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,58000,60000,52,48,0,2,17,28,25,16,8,4,36,64,N,2022-11-08 10:50
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,8000,49,51,0,1,21,28,21,15,8,5,35,65,N,2022-11-08 10:50
잠실 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,44000,46000,47,53,1,10,19,24,20,14,9,4,28,72,N,2022-11-08 10:50
종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,54,46,0,1,16,19,21,20,14,8,34,66,N,2022-11-08 10:50
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,38000,40000,45,55,0,3,30,28,17,11,7,4,36,64,N,2022-11-08 10:50
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,53,47,0,5,28,29,21,11,6,1,4,96,N,2022-11-08 22:00
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,20000,22000,48,52,0,2,23,26,20,16,10,3,25,75,N,2022-11-08 22:00
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,58,42,0,4,26,27,21,14,6,2,6,94,N,2022-11-08 22:00
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,54,46,0,3,28,27,17,11,9,6,30,70,N,2022-11-08 22:00
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,28000,30000,49,51,0,7,27,24,18,13,7,4,19,81,N,2022-11-08 22:00
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,57,43,0,3,28,23,18,16,9,4,12,88,N,2022-11-08 22:00
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,47,53,0,8,45,21,13,7,3,2,17,83,N,2022-11-08 22:00
강남 MICE 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,48,52,0,5,22,29,22,13,6,3,13,87,N,2022-11-12 12:15
동대문 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,45,55,0,5,21,22,17,17,12,7,15,85,N,2022-11-12 12:15
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,49,51,0,3,18,22,19,19,14,6,14,86,N,2022-11-12 12:15
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,48,52,0,4,27,27,17,12,8,5,22,78,N,2022-11-12 12:15
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,54000,56000,41,59,1,14,24,23,16,11,8,4,11,89,N,2022-11-12 12:15
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,28000,52,48,0,3,18,17,16,19,16,11,15,85,N,2022-11-12 12:15
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,48000,50000,41,59,0,10,36,23,13,9,5,3,14,86,N,2022-11-12 12:15
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,59,41,0,2,16,27,25,18,9,2,20,80,N,2022-11-16 07:55
동대문 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,50,50,0,2,18,26,22,17,11,5,11,89,N,2022-11-16 07:55
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,26000,60,40,0,3,15,26,26,17,9,3,17,83,N,2022-11-16 07:55
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,51,49,0,2,20,27,19,16,11,6,24,76,N,2022-11-16 07:55
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,53,47,0,4,17,24,20,19,11,6,18,82,N,2022-11-16 07:55
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,60,40,0,2,17,21,23,19,12,6,15,85,N,2022-11-16 07:55
